DATE,YEAR,MONTH,WEEK,SEASON,SNOW_WC,SNOW_MELT,SNOW_PACK,TEMP_MAX,TEMP_MIN,TEMP_AVERAGE
12/21/2020,2021,Dec,1,Winter,4.6,0.0,0.0,56,22,39
12/22/2020,2021,Dec,1,Winter,4.2,0.4,0.0,48,26,37
12/23/2020,2021,Dec,1,Winter,4.2,0.0,0.0,41,18,29.5
12/24/2020,2021,Dec,1,Winter,4.2,0.0,0.0,42,18,30
12/25/2020,2021,Dec,1,Winter,4.2,0.0,0.0,54,22,38
12/26/2020,2021,Dec,1,Winter,4.5,0.0,0.3,47,26,36.5
12/27/2020,2021,Dec,1,Winter,4.8,0.0,0.3,39,23,31
12/28/2020,2021,Dec,2,Winter,4.9,0.0,0.1,40,27,33.5
12/29/2020,2021,Dec,2,Winter,4.9,0.0,0.0,44,18,31
12/30/2020,2021,Dec,2,Winter,4.9,0.0,0.0,52,21,36.5
12/31/2020,2021,Dec,2,Winter,5.3,0.0,0.4,44,25,34.5
1/1/2021,2021,Jan,2,Winter,5.3,0.0,0.0,43,21,32
1/2/2021,2021,Jan,2,Winter,5.3,0.0,0.0,52,25,38.5
1/3/2021,2021,Jan,2,Winter,5.3,0.0,0.0,54,38,46
1/4/2021,2021,Jan,3,Winter,5.3,0.0,0.0,56,35,45.5
1/5/2021,2021,Jan,3,Winter,6.0,0.0,0.7,49,24,36.5
1/6/2021,2021,Jan,3,Winter,6.0,0.0,0.0,54,24,39
1/7/2021,2021,Jan,3,Winter,6.1,0.0,0.1,48,21,34.5
1/8/2021,2021,Jan,3,Winter,6.1,0.0,0.0,55,28,41.5
1/9/2021,2021,Jan,3,Winter,6.0,0.1,0.0,45,19,32
1/10/2021,2021,Jan,3,Winter,6.0,0.0,0.0,48,22,35
1/11/2021,2021,Jan,4,Winter,5.9,0.1,0.0,50,24,37
1/12/2021,2021,Jan,4,Winter,5.9,0.0,0.0,58,31,44.5
1/13/2021,2021,Jan,4,Winter,5.9,0.0,0.0,63,35,49
1/14/2021,2021,Jan,4,Winter,6.1,0.0,0.2,59,27,43
1/15/2021,2021,Jan,4,Winter,6.0,0.1,0.0,60,28,44
1/16/2021,2021,Jan,4,Winter,6.2,0.0,0.2,59,28,43.5
1/17/2021,2021,Jan,4,Winter,6.1,0.1,0.0,60,28,44
1/18/2021,2021,Jan,5,Winter,6.1,0.0,0.0,52,31,41.5
1/19/2021,2021,Jan,5,Winter,6.1,0.0,0.0,43,29,36
1/20/2021,2021,Jan,5,Winter,6.2,0.0,0.1,51,21,36
1/21/2021,2021,Jan,5,Winter,5.9,0.3,0.0,52,20,36
1/22/2021,2021,Jan,5,Winter,5.8,0.1,0.0,49,31,40
1/23/2021,2021,Jan,5,Winter,5.6,0.2,0.0,39,28,33.5
1/24/2021,2021,Jan,5,Winter,6.0,0.0,0.4,44,22,33
1/25/2021,2021,Jan,6,Winter,6.0,0.0,0.0,31,25,28
1/26/2021,2021,Jan,6,Winter,6.2,0.0,0.2,37,16,26.5
1/27/2021,2021,Jan,6,Winter,7.0,0.0,0.8,40,32,36
1/28/2021,2021,Jan,6,Winter,8.5,0.0,1.5,38,32,35
1/29/2021,2021,Jan,6,Winter,9.6,0.0,1.1,40,29,34.5
1/30/2021,2021,Jan,6,Winter,9.6,0.0,0.0,43,24,33.5
1/31/2021,2021,Jan,6,Winter,9.7,0.0,0.1,47,26,36.5
2/1/2021,2021,Feb,7,Winter,9.8,0.0,0.1,58,28,43
2/2/2021,2021,Feb,7,Winter,10.0,0.0,0.2,57,40,48.5
2/3/2021,2021,Feb,7,Winter,10.5,0.0,0.5,44,32,38
2/4/2021,2021,Feb,7,Winter,10.4,0.1,0.0,46,24,35
2/5/2021,2021,Feb,7,Winter,10.4,0.0,0.0,56,22,39
2/6/2021,2021,Feb,7,Winter,10.4,0.0,0.0,58,22,40
2/7/2021,2021,Feb,7,Winter,10.4,0.0,0.0,60,22,41
2/8/2021,2021,Feb,8,Winter,10.5,0.0,0.1,58,25,41.5
2/9/2021,2021,Feb,8,Winter,10.5,0.0,0.0,52,39,45.5
2/10/2021,2021,Feb,8,Winter,10.7,0.0,0.2,59,37,48
2/11/2021,2021,Feb,8,Winter,10.7,0.0,0.0,55,34,44.5
2/12/2021,2021,Feb,8,Winter,11.3,0.0,0.6,57,31,44
2/13/2021,2021,Feb,8,Winter,11.6,0.0,0.3,49,36,42.5
2/14/2021,2021,Feb,8,Winter,12.0,0.0,0.4,47,32,39.5
2/15/2021,2021,Feb,9,Winter,12.0,0.0,0.0,54,39,46.5
2/16/2021,2021,Feb,9,Winter,12.0,0.0,0.0,47,30,38.5
2/17/2021,2021,Feb,9,Winter,12.0,0.0,0.0,42,24,33
2/18/2021,2021,Feb,9,Winter,12.0,0.0,0.0,41,20,30.5
2/19/2021,2021,Feb,9,Winter,12.1,0.0,0.1,60,34,47
2/20/2021,2021,Feb,9,Winter,12.3,0.0,0.2,44,29,36.5
2/21/2021,2021,Feb,9,Winter,12.4,0.0,0.1,51,23,37
2/22/2021,2021,Feb,10,Winter,12.5,0.0,0.1,61,25,43
2/23/2021,2021,Feb,10,Winter,12.5,0.0,0.0,60,29,44.5
2/24/2021,2021,Feb,10,Winter,12.5,0.0,0.0,43,22,32.5
2/25/2021,2021,Feb,10,Winter,12.5,0.0,0.0,51,21,36
2/26/2021,2021,Feb,10,Winter,12.4,0.1,0.0,57,23,40
2/27/2021,2021,Feb,10,Winter,12.4,0.0,0.0,45,22,33.5
2/28/2021,2021,Feb,10,Winter,12.3,0.1,0.0,51,22,36.5
3/1/2021,2021,Mar,11,Winter,12.2,0.1,0.0,61,23,42
3/2/2021,2021,Mar,11,Winter,12.3,0.0,0.1,59,26,42.5
3/3/2021,2021,Mar,11,Winter,12.2,0.1,0.0,56,28,42
3/4/2021,2021,Mar,11,Winter,12.2,0.0,0.0,63,27,45
3/5/2021,2021,Mar,11,Winter,12.2,0.0,0.0,68,27,47.5
3/6/2021,2021,Mar,11,Winter,12.4,0.0,0.2,54,36,45
3/7/2021,2021,Mar,11,Winter,13.0,0.0,0.6,62,27,44.5
3/8/2021,2021,Mar,12,Winter,13.1,0.0,0.1,51,33,42
3/9/2021,2021,Mar,12,Winter,13.0,0.1,0.0,46,28,37
3/10/2021,2021,Mar,12,Winter,13.1,0.0,0.1,42,28,35
3/11/2021,2021,Mar,12,Winter,13.2,0.0,0.1,43,26,34.5
3/12/2021,2021,Mar,12,Winter,13.5,0.0,0.3,52,31,41.5
